timestamp,wpm,errors,session_duration,fatigue_score,fatigue_level,productivity_score
2026-06-06 20:45:43,44.0,4,854.5,53,Medium,84.2
2026-06-06 20:45:53,33.2,3,681.2,58,Medium,62.9
2026-06-06 20:46:03,58.2,1,30.5,30,Low,100.0
2026-06-06 20:46:13,45.9,1,92.6,17,Low,100.0
2026-06-06 20:46:23,56.6,2,133.2,11,Low,100.0
2026-06-06 20:46:33,15.1,7,1580.8,70,High,0.0
2026-06-06 20:46:43,34.4,4,694.7,51,Medium,65.5
2026-06-06 20:46:53,18.6,9,1609.5,76,High,4.3
2026-06-06 20:47:03,60.7,2,40.4,13,Low,100.0
2026-06-06 20:47:13,12.9,8,1010.9,77,High,0.0
2026-06-06 20:47:23,33.7,3,362.1,60,Medium,66.7
2026-06-06 20:47:33,30.5,4,584.0,48,Medium,56.3
2026-06-06 20:47:43,29.0,12,1250.6,73,High,13.6
2026-06-06 20:47:53,33.5,5,356.5,65,Medium,61.2
2026-06-06 20:48:03,14.5,8,1769.1,85,High,0.0
2026-06-06 20:48:13,23.0,10,437.2,78,High,7.5
2026-06-06 20:48:23,25.8,12,848.0,83,High,1.3
2026-06-06 20:48:33,32.0,3,671.1,52,Medium,62.9
2026-06-06 20:48:43,35.7,5,210.7,55,Medium,65.0
2026-06-06 20:48:53,28.8,12,1685.7,76,High,15.4
2026-06-06 20:49:03,30.2,5,326.1,49,Medium,50.5
2026-06-06 20:49:13,43.3,4,269.8,44,Medium,83.2
2026-06-06 20:49:23,42.0,3,620.6,44,Medium,85.5
2026-06-06 20:49:33,58.2,2,42.2,12,Low,100.0
2026-06-06 20:49:43,37.8,3,837.0,54,Medium,74.5
2026-06-06 20:49:53,28.3,7,683.3,89,High,32.0
2026-06-06 20:50:03,38.9,4,271.0,44,Medium,76.6
2026-06-06 20:50:13,31.4,5,263.6,61,Medium,55.5
2026-06-06 20:50:23,60.9,1,110.3,29,Low,100.0
2026-06-06 20:50:33,74.7,1,78.0,23,Low,100.0
2026-06-06 20:50:43,39.0,4,758.4,43,Medium,73.4
2026-06-06 20:50:53,43.7,3,695.3,50,Medium,89.4
2026-06-06 20:51:03,42.8,3,363.7,46,Medium,84.8
2026-06-06 20:51:13,44.5,3,554.8,46,Medium,88.2
2026-06-06 20:51:23,66.2,2,102.5,18,Low,100.0
2026-06-06 20:51:33,30.8,5,897.0,60,Medium,55.2
2026-06-06 20:51:43,53.0,1,69.2,22,Low,100.0
2026-06-06 20:51:53,34.6,5,597.2,55,Medium,60.5
2026-06-06 20:52:03,74.9,1,96.4,24,Low,100.0
2026-06-06 20:52:13,74.3,0,68.0,11,Low,100.0
2026-06-06 20:52:23,58.8,2,101.1,35,Low,100.0
2026-06-06 20:52:33,74.8,2,210.0,34,Low,100.0
2026-06-06 20:52:43,55.3,2,176.7,10,Low,100.0
2026-06-06 20:52:53,15.7,9,333.1,95,High,0.0
2026-06-06 20:53:03,23.1,11,1452.7,95,High,0.0
2026-06-06 20:53:13,71.4,1,279.8,27,Low,100.0
2026-06-06 20:53:23,29.6,11,834.5,73,High,16.9
2026-06-06 20:53:33,18.5,10,1570.3,70,High,0.0
2026-06-06 20:53:43,32.5,4,861.1,55,Medium,58.6
2026-06-06 20:53:53,12.0,12,1129.7,83,High,0.0
